vendor,filename,state,frameworks,source_hint,config_path,content_preview
"Cisco","cisco_secure_000.cfg","secure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_secure_000.cfg","hostname cisco-secure-000 ip ssh version 2 logging enable logging host 192.0.2.1 ntp authenticate ntp server 10.0.0.1 key 1 no ip source-route interface GigabitEthernet0/0  no ip proxy-arp end "
"Cisco","cisco_insecure_001.cfg","insecure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_insecure_001.cfg","hostname cisco-insecure-001 no ip ssh server algorithm encryption aes128-ctr service password-encryption no logging on ntp server 10.0.0.2 interface GigabitEthernet0/1  ip proxy-arp end "
"Cisco","cisco_mixed_002.cfg","mixed","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_mixed_002.cfg","hostname cisco-mixed-002 ip ssh version 2 no logging enable ntp server 10.0.0.3 no ip source-route interface GigabitEthernet0/0  ip proxy-arp end "
"Cisco","cisco_secure_003.cfg","secure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_secure_003.cfg","hostname cisco-secure-003 ip domain-name example.com ip ssh version 2 service tcp-keepalives-in logging buffered 4096 logging host 192.0.2.4 ntp server 10.0.0.4 no ip source-route end "
"Cisco","cisco_insecure_004.cfg","insecure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_insecure_004.cfg","hostname cisco-insecure-004 ip ssh version 1 no logging enable ntp server 10.0.0.5 ip source-route interface GigabitEthernet0/0  ip proxy-arp end "
"Cisco","cisco_mixed_005.cfg","mixed","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_mixed_005.cfg","hostname cisco-mixed-005 ip ssh version 1 logging enable ntp authenticate no ip source-route end "
"Cisco","cisco_secure_006.cfg","secure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_secure_006.cfg","hostname cisco-secure-006 ip ssh version 2 logging enable logging host 192.0.2.7 ntp authenticate ntp server 10.0.0.7 key 1 no ip source-route interface GigabitEthernet0/0  no ip proxy-arp end "
"Cisco","cisco_insecure_007.cfg","insecure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_insecure_007.cfg","hostname cisco-insecure-007 no ip ssh server algorithm encryption aes128-ctr service password-encryption no logging on ntp server 10.0.0.8 interface GigabitEthernet0/1  ip proxy-arp end "
"Cisco","cisco_mixed_008.cfg","mixed","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_mixed_008.cfg","hostname cisco-mixed-008 ip ssh version 2 no logging enable ntp server 10.0.0.9 no ip source-route interface GigabitEthernet0/0  ip proxy-arp end "
"Cisco","cisco_secure_009.cfg","secure","CIS Benchmarks;NIST SP 800-53;DISA STIG;ISO/IEC 27001","https://developer.cisco.com/","data/datasets/vendor_configs/cisco_secure_009.cfg","hostname cisco-secure-009 ip domain-name example.com ip ssh version 2 service tcp-keepalives-in logging buffered 4096 logging host 192.0.2.10 ntp server 10.0.0.10 no ip source-route end "
